;Pais;Region;Poblacion;Area (sq. mi.);PIB ($ per capita);Densidad de Poblacion (por sq. mi.);Migracion Neta;Mortalidad Infantil (por 1000 nacimientos);Alfabetizacion (%);Telefonos (por 1000);Tasa de Natalidad;Tasa de Mortalidad;Agricultura;Industria;Servicios
0;Afghanistan ;ASIA (EX. NEAR EAST)         ;31056997;647500;700.0;48,0;23,06;163,07;36,0;3,2;46,6;20,34;0,38;0,24;0,38
1;Albania ;EASTERN EUROPE                     ;3581655;28748;4500.0;124,6;-4,93;21,52;86,5;71,2;15,11;5,22;0,232;0,188;0,579
2;Algeria ;NORTHERN AFRICA                    ;32930091;2381740;6000.0;13,8;-0,39;31;70,0;78,1;17,14;4,61;0,101;0,6;0,298
3;Anguilla ;LATIN AMER. & CARIB    ;13477;102;8600.0;132,1;10,76;21,03;95,0;460,0;14,17;5,34;0,04;0,18;0,78
4;Antigua & Barbuda ;LATIN AMER. & CARIB    ;69108;443;11000.0;156,0;-6,15;19,46;89,0;549,9;16,93;5,37;0,038;0,22;0,743
5;Argentina ;LATIN AMER. & CARIB    ;39921833;2766890;11200.0;14,4;0,61;15,18;97,1;220,4;16,73;7,55;0,095;0,358;0,547
6;Armenia ;C.W. OF IND. STATES ;2976372;29800;3500.0;99,9;-6,47;23,28;98,6;195,7;12,07;8,23;0,239;0,343;0,418
7;Aruba ;LATIN AMER. & CARIB    ;71891;193;28000.0;372,5;0;5,89;97,0;516,1;11,03;6,68;0,004;0,333;0,663
8;Australia ;OCEANIA                            ;20264082;7686850;29000.0;2,6;3,98;4,69;100,0;565,5;12,14;7,51;0,038;0,262;0,7
9;Austria ;WESTERN EUROPE                     ;8192880;83870;30000.0;97,7;2;4,66;98,0;452,2;8,74;9,76;0,018;0,304;0,678
10;Azerbaijan ;C.W. OF IND. STATES ;7961619;86600;3400.0;91,9;-4,9;81,74;97,0;137,1;20,74;9,75;0,141;0,457;0,402
11;Bahamas, The ;LATIN AMER. & CARIB    ;303770;13940;16700.0;21,8;-2,2;25,21;95,6;460,6;17,57;9,05;0,03;0,07;0,9
12;Bahrain ;NEAR EAST                          ;698585;665;16900.0;1050,5;1,05;17,27;89,1;281,3;17,8;4,14;0,005;0,387;0,608
13;Bangladesh ;ASIA (EX. NEAR EAST)         ;147365352;144000;1900.0;1023,4;-0,71;62,6;43,1;7,3;29,8;8,27;0,199;0,198;0,603
